,Clean_Code,Clean_City,City_Count,Corrected_City,Score
0,AD,ANDORRA,3,ANDORRA,100
1,AD,CENTURION,1,CENTURION,72
2,AD,LES ESCALDES ENGO,1,LES CAYES,86
3,AD,MERITXELL,7,MERITXELL,71
4,AE,ABU DHABI,21,ABU DHABI,100
5,AE,AL AIN,3,AL MUSAYYIB,86
6,AE,AMWAJ,1,WA,90
7,AE,BUENOS AIRES,1,BUENOS AIRES,100
8,AE,CORDOBA,1,CORDOBA,100
9,AE,DEIRA,1,DEIRA,80
10,AE,DUBAI,144,DUBAI,100
11,AE,MARINA PARADE,1,ARAD,90
12,AE,SHARJAH,1,SHARJAH,100
13,AF,BANJUL,1,BANJUL,100
14,AF,CENTURION,1,CENTURION,72
15,AF,KABUL,6,KABUL,100
16,AF,KHAIRKHANA,1,KHAIRKHANA,72
17,AF,NO TOWN,1,GEORGE TOWN,86
18,AF,SOUTH AFRICA,2,ICA,90
19,AF,WAZIR AKHBAR,1,WA,90
20,AG,BUENOS AIRES,4,BUENOS AIRES,100
21,AL,ANNISTON,1,NIS,90
22,AL,BIRMINGHAM,3,BIRMINGHAM,100
23,AL,BIRNINGHAM,1,INGHAM,90
24,AL,HUNTSVILLE,7,HUNTSVILLE,100
25,AL,TIRANA,4,TIRANA,100
26,AL,TIRANE,1,TIRANA,83
27,AM,EREVAN,1,YEREVAN,92
28,AM,YEREVAN,8,YEREVAN,100
29,AN,GRONINGEN,2,GRONINGEN,100
30,AN,MARIGOT,6,MARIGOT,77
31,AN,NETHERLANDS,1,NETHERLANDS,75
32,AN,SAINT MARTIN,1,SAN MARTIN,91
33,AN,ST MARTIN,1,SAN MARTIN STATION,86
34,AN,VEGHEL,3,VEGHEL,68
35,AN,WILLEMSTAD,6,WILLEMSTAD,100
36,AN,WILLEMSTEAD,1,WILLEMSTAD,95
37,AO,LUANDA,6,LUANDA,100
38,AR,24ENOS AIRES,1,BUENOS AIRES,83
39,AR,5491140660508,1,5491140660508,9
40,AR,ACAPULCO,1,ACAPULCO,100
41,AR,ADROGUE,40,ADROGUE,71
42,AR,ADROGUE BUENOS A,6,ADROGUE BUENOS A,72
43,AR,ARGENTIA,1,ARGENTIA,100
44,AR,ARGENTINA,43,ARGENTIA,94
45,AR,ASAN JUAN,1,SAN JUAN,94
46,AR,ASUNCIION,1,ASUNCION,94
47,AR,ASUNCION,3,ASUNCION,100
48,AR,AVELLANEDA,70,AVELLANEDA,75
49,AR,AVELLANEDA GRAN,4,AVELLANEDA GRAN,75
50,AR,AVLLANEDA,9,AVLLANEDA,75
51,AR,AZCUENAGA,1,NAGA,90
52,AR,BAHIA BLANCA,527,BAHIA BLANCA,100
53,AR,BAHIA BLANCA BUE,24,BAHIA BLANCA,95
54,AR,BAIRES,5,BAURES,83
55,AR,BANFIELD BUENOS,2,BANFIELD BUENOS,72
56,AR,BARRANQUERAS CHAO,10,TRANQUERAS,81
57,AR,BARRANQUERASCHACO,1,TRANQUERAS,81
58,AR,BBUENOS AIRES,1,BUENOS AIRES,96
59,AR,BENADO TUERTO,1,VENADO TUERTO,92
60,AR,BENOS AIRES,3,BUENOS AIRES,96
61,AR,BEUNOS AIRES,3,BUENOS AIRES,92
62,AR,BEUNOS ARIES,1,BUENOS AIRES,83
63,AR,BIENOS AIRES,1,BUENOS AIRES,92
64,AR,BOLIVAR,1,BOL,90
65,AR,BOULOGNE,2,BO,90
66,AR,BU8ENSO AIRES,1,BUENOS AIRES,88
67,AR,BUA NOS AIRES,1,BUENOS AIRES,88
68,AR,BUE,1,BUENOS AIRES,90
69,AR,BUEENOS AIRES,7,BUENOS AIRES,96
70,AR,BUEN0S AIRES,1,BUENOS AIRES,92
71,AR,BUENEOS ARIES,1,BUENOS AIRES,88
72,AR,BUENIOS AIRES,1,BUENOS AIRES,96
73,AR,BUENO AIRES,12,BUENOS AIRES,96
74,AR,BUENOA AIRES,2,BUENOS AIRES,92
75,AR,BUENOAS AIRES,1,BUENOS AIRES,96
