,city,city_ascii,lat,lng,pop,country,iso2,iso3,province,Clean_City,Clean_Code
0,Qal eh-ye Now,Qal eh-ye,34.98300013,63.13329964,2997.0,Afghanistan,AF,AFG,Badghis,QAL EHYE,AF
1,Chaghcharan,Chaghcharan,34.5167011,65.25000063,15000.0,Afghanistan,AF,AFG,Ghor,CHAGHCHARAN,AF
2,Lashkar Gah,Lashkar Gah,31.58299802,64.35999955,201546.0,Afghanistan,AF,AFG,Hilmand,LASHKAR GAH,AF
3,Zaranj,Zaranj,31.11200108,61.88699752,49851.0,Afghanistan,AF,AFG,Nimroz,ZARANJ,AF
4,Tarin Kowt,Tarin Kowt,32.63329815,65.86669865,10000.0,Afghanistan,AF,AFG,Uruzgan,TARIN KOWT,AF
5,Zareh Sharan,Zareh Sharan,32.85000016,68.41670453,13737.0,Afghanistan,AF,AFG,Paktika,ZAREH SHARAN,AF
6,Asadabad,Asadabad,34.86600004,71.15000459,48400.0,Afghanistan,AF,AFG,Kunar,ASADABAD,AF
7,Taloqan,Taloqan,36.72999904,69.54000364,64256.0,Afghanistan,AF,AFG,Takhar,TALOQAN,AF
8,Mahmud-E Eraqi,Mahmud-E Eraqi,35.01669608,69.33330065,7407.0,Afghanistan,AF,AFG,Kapisa,MAHMUDE ERAQI,AF
9,Mehtar Lam,Mehtar Lam,34.65000001,70.16670052,17345.0,Afghanistan,AF,AFG,Laghman,MEHTAR LAM,AF
10,Baraki Barak,Baraki Barak,33.9667021,68.96670354,22305.0,Afghanistan,AF,AFG,Logar,BARAKI BARAK,AF
11,Aybak,Aybak,36.26100015,68.04000051,24000.0,Afghanistan,AF,AFG,Samangan,AYBAK,AF
12,Mayda Shahr,Mayda Shahr,34.45000209,68.79999663,35008.0,Afghanistan,AF,AFG,Wardak,MAYDA SHAHR,AF
13,Karokh,Karokh,34.48676963,62.59177608,14388.5,Afghanistan,AF,AFG,Hirat,KAROKH,AF
14,Sheberghan,Sheberghan,36.65798077,65.73830237,74441.0,Afghanistan,AF,AFG,Jawzjan,SHEBERGHAN,AF
15,Pol-e Khomri,Pol-e Khomri,35.95107302,68.70111894,41029.0,Afghanistan,AF,AFG,Baghlan,POLE KHOMRI,AF
16,Balkh,Balkh,36.75011985,66.89973018,147426.0,Afghanistan,AF,AFG,Balkh,BALKH,AF
17,Meymaneh,Meymaneh,35.93022158,64.77009273,199795.0,Afghanistan,AF,AFG,Faryab,MEYMANEH,AF
18,Andkhvoy,Andkhvoy,36.93165916,65.10149369,50469.0,Afghanistan,AF,AFG,Faryab,ANDKHVOY,AF
19,Qalat,Qalat,32.11226341,66.8867594,12191.0,Afghanistan,AF,AFG,Zabul,QALAT,AF
20,Ghazni,Ghazni,33.56331179,68.41782873,129892.5,Afghanistan,AF,AFG,Ghazni,GHAZNI,AF
21,Feyzabad,Feyzabad,37.12976076,70.57924719,52490.0,Afghanistan,AF,AFG,Badakhshan,FEYZABAD,AF
22,Kondoz,Kondoz,36.72795066,68.87252966,210855.5,Afghanistan,AF,AFG,Kunduz,KONDOZ,AF
23,Jalalabad,Jalalabad,34.44152692,70.43610347,401697.0,Afghanistan,AF,AFG,Nangarhar,JALALABAD,AF
24,Charikar,Charikar,35.01826174,69.16791215,53676.0,Afghanistan,AF,AFG,Parwan,CHARIKAR,AF
25,Gardiz,Gardiz,33.60005373,69.21462764,82680.5,Afghanistan,AF,AFG,Paktya,GARDIZ,AF
26,Bamian,Bamian,34.82106447,67.52103593,61863.0,Afghanistan,AF,AFG,Bamyan,BAMIAN,AF
27,Baghlan,Baghlan,36.13933026,68.69925858,163598.5,Afghanistan,AF,AFG,Baghlan,BAGHLAN,AF
28,Farah,Farah,32.39172955,62.09681921,58604.0,Afghanistan,AF,AFG,Farah,FARAH,AF
29,Herat,Herat,34.33000917,62.16999304,439232.5,Afghanistan,AF,AFG,Hirat,HERAT,AF
30,Mazar-e Sharif,Mazar-e Sharif,36.69999371,67.10002803,365432.5,Afghanistan,AF,AFG,Balkh,MAZARE SHARIF,AF
31,Kandahar,Kandahar,31.61002016,65.69494584,613871.0,Afghanistan,AF,AFG,Kandahar,KANDAHAR,AF
32,Kabul,Kabul,34.51669029,69.18326005,3160266.0,Afghanistan,AF,AFG,Kabul,KABUL,AF
33,Mariehamn,Mariehamn,60.09699618,19.94900447,10682.0,Aland,AX,ALD,Finström,MARIEHAMN,AX
34,Kruje,Kruje,41.51899817,19.79700359,21286.0,Albania,AL,ALB,Durrës,KRUJE,AL
35,Fier,Fier,40.73000402,19.5730026,69747.5,Albania,AL,ALB,Fier,FIER,AL
36,Lushnje,Lushnje,40.94000113,19.71600348,41469.0,Albania,AL,ALB,Fier,LUSHNJE,AL
37,Puke,Puke,42.03330302,19.88330448,6495.0,Albania,AL,ALB,Shkodër,PUKE,AL
38,Bajram Curri,Bajram Curri,42.33330007,20.08330257,7967.0,Albania,AL,ALB,Kukës,BAJRAM CURRI,AL
39,Kukes,Kukes,42.08300107,20.43399653,17832.0,Albania,AL,ALB,Kukës,KUKES,AL
40,Sarande,Sarande,39.87700212,19.99999859,15147.0,Albania,AL,ALB,Vlorë,SARANDE,AL
41,Erseke,Erseke,40.33330213,20.68329651,7890.0,Albania,AL,ALB,Korçë,ERSEKE,AL
42,Pogradec,Pogradec,40.89999612,20.66400062,35000.0,Albania,AL,ALB,Korçë,POGRADEC,AL
43,Korce,Korce,40.61667601,20.76666353,58259.0,Albania,AL,ALB,Korçë,KORCE,AL
44,Berat,Berat,40.70999705,19.97199958,46866.0,Albania,AL,ALB,Berat,BERAT,AL
45,Corovode,Corovode,40.51670403,20.23329663,14046.0,Albania,AL,ALB,Berat,COROVODE,AL
46,Gramsh,Gramsh,40.86669601,20.19999652,11556.0,Albania,AL,ALB,Elbasan,GRAMSH,AL
47,Librazhd,Librazhd,41.20000211,20.3667036,12691.0,Albania,AL,ALB,Elbasan,LIBRAZHD,AL
48,Tepelene,Tepelene,40.2832981,20.03329854,11955.0,Albania,AL,ALB,Gjirokastër,TEPELENE,AL
49,Permet,Permet,40.23399605,20.35199756,10686.0,Albania,AL,ALB,Gjirokastër,PERMET,AL
